#{"t_start": 1716949820.8427901, "env_id": "None"}
r,l,t
-0.15,15,35.578052
-0.08,8,35.597034
499.88,13,35.637727
-0.14,14,35.685755
-0.2,20,35.737832
-0.08,8,35.767368
-0.11,11,35.808878
-0.06,6,35.825619
-0.09,9,35.85509
-0.07,7,35.874401
-0.04,4,35.883561
-0.27,27,35.949462
-0.03,3,35.959369
-0.23,23,36.04072
-0.03,3,36.048239
-0.09,9,36.082001
-0.08,8,36.113739
-0.12,12,36.146804
-0.13,13,36.190567
-0.09,9,36.224628
-0.08,8,36.248657
-0.03,3,38.573728
-0.16,16,38.630735
-0.03,3,38.64177
-0.05,5,38.66065
-0.03,3,38.673829
-0.2,20,38.728863
-0.03,3,38.735973
-0.03,3,38.742598
-0.05,5,38.753614
-0.08,8,38.772966
-0.09,9,38.80585
-0.11,11,38.846802
-0.03,3,38.859048
-0.12,12,38.91924
-0.11,11,38.964457
-0.17,17,39.044238
-0.08,8,39.088314
-0.39,39,39.224413
-0.04,4,39.234434
-0.08,8,39.253139
-0.05,5,39.264663
-0.1,10,39.301278
-0.06,6,39.328428
-0.05,5,39.351009
-0.09,9,39.390171
-0.11,11,39.4338
-0.18,18,39.493781
-0.04,4,39.504942
-0.06,6,39.526147
-0.09,9,39.561093
-0.07,7,39.588036
-0.16,16,39.649087
-0.17,17,39.710695
-0.13,13,39.755581
-0.13,13,39.785321
-0.04,4,39.793833
-0.03,3,39.800937
-0.14,14,39.838895
-0.09,9,39.870745
-0.06,6,39.885899
-0.1,10,39.909177
-0.05,5,39.921822
-0.12,12,39.959293
499.84,17,40.001022
-0.05,5,40.012119
-0.29,29,40.079906
-0.05,5,40.091551
-0.11,11,40.125255
-0.06,6,40.159853
-0.24,24,40.285108
499.84,17,40.324291
-0.11,11,40.34988
-0.17,17,40.391039
-0.07,7,40.407089
-0.13,13,40.445213
-0.15,15,40.495848
-0.07,7,40.51191
-0.07,7,40.527977
-0.19,19,40.598085
-0.14,14,40.630642
-0.14,14,40.66291
-0.12,12,40.689383
-0.08,8,40.709496
-0.11,11,40.735643
-0.07,7,40.750675
-0.1,10,40.773791
-0.1,10,40.797004
-0.09,9,40.820822
-0.08,8,40.839695
-0.04,4,40.848987
-0.03,3,40.855557
-0.05,5,40.867577
-0.03,3,40.873929
-0.05,5,40.886008
-0.04,4,40.89503
-0.14,14,40.92919
-0.11,11,40.955258
499.84,17,40.994843
499.9,11,41.01919
-0.11,11,41.046633
-0.13,13,41.083799
-0.05,5,41.094881
-0.08,8,41.113517
-0.13,13,41.14531
-0.09,9,41.165512
-0.03,3,41.172995
-0.09,9,41.194273
-0.06,6,41.208295
-0.11,11,41.233243
-0.14,14,41.268751
-0.11,11,41.293595
-0.06,6,41.307608
-0.09,9,41.353807
-0.09,9,41.391779
-0.04,4,41.408797
-0.08,8,41.454859
-0.1,10,41.489414
-0.11,11,41.515224
-0.28,28,41.595222
-0.15,15,41.629205
-0.16,16,41.666818
-0.1,10,41.695076
-0.05,5,41.706267
-0.03,3,41.713844
-0.1,10,41.736627
-0.05,5,41.748788
-0.11,11,41.775155
-0.12,12,41.805198
-0.12,12,41.837838
-0.03,3,41.849366
499.86,15,41.900772
-0.09,9,41.924666
-0.08,8,41.943767
-0.21,21,41.992077
-0.07,7,42.008663
-0.06,6,42.024956
-0.03,3,42.032952
-0.04,4,42.042568
-0.23,23,42.097443
-0.08,8,42.115144
-0.03,3,42.12526
-0.05,5,42.137349
-0.03,3,42.144481
-0.1,10,42.168166
499.85,16,42.205224
-0.12,12,42.239169
-0.08,8,42.25875
-0.08,8,42.277095
-0.13,13,42.309256
-0.25,25,42.378523
-0.11,11,42.404094
-0.17,17,42.443338
-0.09,9,42.465861
-0.11,11,42.491538
-0.05,5,42.503205
-0.03,3,42.510716
-0.06,6,42.544357
-0.04,4,42.565233
-0.12,12,42.620968
-0.11,11,42.681367
-0.12,12,42.711321
-0.11,11,42.736523
-0.14,14,42.768863
-0.11,11,42.797024
-0.07,7,42.818407
-0.08,8,42.838428
-0.22,22,42.88952
499.84,17,42.929341
-0.19,19,42.973325
-0.09,9,42.99751
-0.1,10,43.01936
-0.03,3,43.0271
-0.05,5,43.039114
-0.05,5,43.050637
-0.09,9,43.070678
-0.05,5,43.082706
-0.12,12,43.110761
-0.14,14,43.145412
-0.04,4,43.155436
-0.05,5,43.166455
-0.04,4,43.175474
-0.1,10,43.206137
-0.07,7,43.221882
-0.09,9,43.244925
-0.07,7,43.261972
-0.2,20,43.308109
-0.17,17,43.348187
-0.07,7,43.367715
-0.07,7,43.383991
-0.05,5,43.403018
-0.4,40,43.503266
-0.04,4,43.512866
-0.07,7,43.528898
-0.07,7,43.545596
-0.14,14,43.590905
-0.12,12,43.619456
-0.07,7,43.634984
-0.06,6,43.648538
-0.09,9,43.669779
-0.05,5,43.680763
-0.08,8,43.698886
-0.03,3,43.706909
-0.09,9,43.755468
-0.06,6,43.775511
-0.17,17,43.875125
-0.11,11,43.901681
-0.06,6,43.915745
-0.09,9,43.936576
-0.08,8,43.954896
-0.12,12,43.983998
-0.26,26,44.045194
-0.15,15,44.081605
-0.07,7,44.098198
-0.03,3,44.104818
-0.05,5,44.11652
-0.05,5,44.128115
-0.03,3,44.135739
-0.19,19,44.186819
-0.13,13,44.216423
-0.15,15,44.250978
-0.17,17,44.294789
-0.04,4,44.309319
-0.16,16,44.367612
-0.1,10,44.396676
-0.04,4,44.407837
-0.07,7,46.721695
-0.03,3,46.728204
-0.14,14,46.764711
499.87,14,46.797777
-0.06,6,46.814959
-0.07,7,46.839761
-0.07,7,46.855914
-0.05,5,46.867941
-0.1,10,46.894087
-0.11,11,46.92071
-0.1,10,46.943766
-0.09,9,46.965811
-0.03,3,46.972824
-0.03,3,46.981891
499.83,18,47.033049
-0.03,3,47.053083
-0.13,13,47.106312
-0.31,31,47.187017
-0.08,8,47.210576
-0.15,15,47.248685
-0.16,16,47.289299
499.89,12,47.323407
-0.05,5,47.336434
499.86,15,47.396589
499.72,29,47.527919
499.91,10,47.553523
-0.11,11,47.579565
-0.08,8,47.601113
-0.03,3,47.612154
-0.05,5,47.628702
-0.27,27,47.702731
-0.4,40,47.809178
-0.06,6,47.823267
-0.07,7,47.838319
-0.09,9,47.859385
-0.15,15,47.916515
