#{"t_start": 1716825818.5659237, "env_id": "None"}
r,l,t
-10.05,6,8.952922
-10.05,6,8.960499
-10.04,5,8.971043
-10.02,3,8.974556
-10.02,3,8.979555
-10.04,5,8.989528
-10.05,6,9.002035
-10.02,3,9.008546
-10.02,3,9.01254
-10.02,3,9.016069
-10.02,3,9.019035
-10.02,3,9.022036
-10.03,4,9.026546
-10.03,4,9.032546
-10.04,5,9.038056
-10.03,4,9.043055
-10.03,4,9.048563
-10.02,3,9.052562
-10.06,7,9.069196
-10.04,5,9.075196
-10.03,4,9.081707
-10.06,7,9.090211
-10.02,3,9.094213
-10.04,5,9.098724
-10.02,3,9.103724
-10.02,3,9.108227
-10.03,4,9.114231
-10.02,3,9.117232
-10.04,5,9.124741
-10.02,3,9.129244
-10.03,4,9.135248
-10.05,6,9.143758
-10.06,7,9.152269
-10.02,3,9.15483
-10.02,3,9.164348
-10.02,3,9.167348
-10.04,5,9.170852
-10.02,3,9.176858
-10.02,3,9.179857
-10.02,3,9.18237
-10.05,6,9.187369
-10.02,3,9.190369
-10.04,5,9.193882
-10.02,3,9.196881
499.89,12,9.209423
-10.02,3,9.213933
-10.02,3,9.219933
-10.03,4,9.225444
-10.02,3,9.230448
-10.04,5,9.237599
-10.02,3,9.248073
-10.02,3,9.25107
-10.02,3,9.254575
499.9,11,9.269166
-10.04,5,9.27574
-10.04,5,9.285284
-10.06,7,9.295873
-10.03,4,9.301911
-10.02,3,9.30648
-10.02,3,9.311508
-10.02,3,9.317081
-10.02,3,9.321086
-10.03,4,9.326663
-10.02,3,9.33163
-10.04,5,9.338251
-10.02,3,9.343321
-10.02,3,9.354269
-10.02,3,9.357291
-10.2,21,9.384312
-10.02,3,9.387819
-10.05,6,9.397856
-10.02,3,9.402083
-10.03,4,9.40808
-10.02,3,9.412146
-10.02,3,9.416147
-10.02,3,9.41972
-10.02,3,9.42472
-10.02,3,9.429302
-10.02,3,9.434298
-10.02,3,9.438843
-10.02,3,9.444923
-10.04,5,9.451926
-10.02,3,9.462968
-10.05,6,9.468976
-10.02,3,9.471976
-10.02,3,9.476489
-10.04,5,9.482487
-10.04,5,9.487999
-10.06,7,9.496507
-10.02,3,9.502507
-10.02,3,9.50702
-10.06,7,9.515524
-10.06,7,9.523532
-10.02,3,9.528039
-10.02,3,9.532042
-10.04,5,9.537552
-10.04,5,9.544551
-10.04,5,9.551062
-10.02,3,9.559716
-10.02,3,9.563716
-10.02,3,9.567749
-10.02,3,9.571754
-10.04,5,9.578361
-10.03,4,9.582309
-10.02,3,9.585309
-10.02,3,9.587316
-10.06,7,9.592896
-10.07,8,9.600463
-10.03,4,9.603462
-10.02,3,9.606433
-10.02,3,9.608968
-10.02,3,9.614002
-10.04,5,9.619003
-10.07,8,9.625575
-10.05,6,9.63609
-10.02,3,9.639595
-10.02,3,9.642602
-10.04,5,9.646601
-10.03,4,9.650108
-10.04,5,9.654145
-10.03,4,9.658723
-10.06,7,9.664296
-10.02,3,9.666296
-10.02,3,9.6693
-10.02,3,9.671868
-10.02,3,9.67687
-10.02,3,9.681409
-10.04,5,9.688437
-10.02,3,9.693016
-10.02,3,9.697998
-10.07,8,9.713084
