#{"t_start": 1716944249.2110465, "env_id": "None"}
r,l,t
-10.31,32,51.488791
-10.04,5,51.533522
-10.29,30,51.746582
-10.02,3,51.761214
-10.12,13,51.835172
-10.41,42,51.988876
-10.02,3,52.001453
-10.05,6,52.024357
-10.04,5,52.041427
-10.04,5,52.05545
-10.06,7,52.074645
-10.17,18,52.121597
-10.11,12,52.1571
-10.26,27,52.228479
-10.04,5,52.242181
-10.03,4,52.253201
-10.08,9,52.280591
-10.09,10,52.335644
499.6,41,52.505444
-10.06,7,52.527275
-10.07,8,52.557529
-10.2,21,52.623432
-10.03,4,52.633809
-10.03,4,52.644378
499.85,16,52.687716
-10.02,3,52.695226
-10.03,4,52.70758
-10.09,10,52.734291
-10.06,7,52.750398
-10.07,8,52.771602
-10.2,21,52.844792
-10.16,17,52.890415
-10.06,7,52.910208
-10.15,16,52.971217
-10.04,5,52.985235
-10.23,24,53.056962
-10.1,11,53.096879
-10.03,4,53.134117
-10.14,15,53.238581
-10.02,3,53.257915
-10.1,11,53.303194
-10.05,6,53.326817
-10.05,6,53.366491
-10.09,10,53.40863
-10.08,9,53.450423
-10.02,3,53.461531
-10.12,13,54.125426
499.91,10,54.173454
-10.15,16,54.230321
-10.05,6,54.251405
-10.09,10,54.278931
-10.24,25,54.366863
-10.04,5,54.410257
499.78,23,54.490613
-10.15,16,54.538725
-10.15,16,54.590594
-10.04,5,54.616491
-10.09,10,54.66126
-10.09,10,54.700314
-10.05,6,54.718867
-10.14,15,54.762034
-10.1,11,54.80116
499.85,16,54.859516
-10.09,10,54.896488
-10.04,5,54.917515
-10.07,8,54.950281
-10.04,5,54.968336
-10.12,13,55.016048
-10.03,4,55.030604
-10.05,6,55.052202
499.91,10,55.09735
-10.1,11,55.153137
-10.02,3,55.164673
-10.06,7,55.191308
499.84,17,55.381991
-10.07,8,55.405171
-10.05,6,55.422973
-10.03,4,55.443598
-10.03,4,55.473222
-10.06,7,55.527836
-10.08,9,55.566153
-10.04,5,55.584704
499.79,22,55.660384
-10.06,7,55.685436
499.82,19,55.744365
-10.33,34,55.878624
-10.09,10,55.918468
-10.09,10,55.956784
-10.13,14,56.009063
-10.03,4,56.022606
-10.03,4,56.035384
-10.04,5,56.053435
-10.08,9,56.097471
-10.06,7,56.140219
-10.03,4,56.155264
-10.02,3,56.167293
-10.09,10,56.212833
-10.02,3,56.254143
-10.03,4,56.277269
-10.19,20,56.354611
-10.1,11,56.387234
-10.21,22,56.49873
-10.03,4,56.51432
-10.18,19,56.584933
-10.04,5,56.600498
-10.2,21,56.664823
-10.04,5,56.690398
-10.07,8,56.741654
-10.11,12,56.798727
-10.05,6,56.815259
-10.05,6,56.830319
-10.11,12,56.862588
-10.09,10,56.893183
-10.08,9,56.9643
-10.08,9,57.040189
-10.02,3,57.067237
-10.04,5,57.114407
-10.1,11,57.217848
499.91,10,57.318681
-10.07,8,57.403426
-10.1,11,57.488126
-10.06,7,57.517748
-10.11,12,57.584654
499.88,13,57.627311
-10.05,6,57.644471
-10.04,5,57.662214
-10.06,7,57.682502
-10.07,8,57.713323
-10.29,30,57.819032
-10.04,5,57.834583
-10.1,11,57.872336
-10.23,24,57.94933
-10.09,10,58.00724
499.91,10,58.074456
-10.12,13,58.137306
-10.04,5,58.164359
-10.26,27,58.268386
-10.04,5,58.280502
-10.13,14,58.323837
-10.06,7,58.346537
499.64,37,58.451308
-10.07,8,58.473117
-10.11,12,58.504359
499.86,15,58.567524
-10.04,5,58.580375
-10.06,7,58.598915
-10.06,7,58.629058
-10.16,17,58.686265
-10.06,7,58.708358
-10.02,3,58.722905
-10.09,10,58.775616
-10.04,5,58.801303
-10.06,7,58.8657
499.89,12,58.906621
-10.05,6,58.92542
