time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,train/learning_rate,train/loss,train/n_updates
1020,-5.0639,497,17239,17.39,0.05,34,0.1,0.3038959503173828,4284
1024,-5.063599999999999,496,17252,17.36,0.05,34,0.1,0.88780677318573,4287
1028,-5.068899999999999,495,17426,17.89,0.05,35,0.1,0.30416783690452576,4331
1032,-5.080099999999999,494,17555,19.01,0.05,35,0.1,0.5960243940353394,4363
1036,-10.192599999999999,491,17699,20.26,0.05,36,0.1,0.5941439867019653,4399
1040,-10.195999999999998,490,17870,20.6,0.05,36,0.1,0.5967194437980652,4442
1044,-10.204299999999998,489,18021,21.43,0.05,36,0.1,0.30114564299583435,4480
1048,-10.2054,489,18107,21.54,0.05,36,0.1,0.5801762938499451,4501
1052,-10.2257,487,18405,23.57,0.05,37,0.1,0.3037000596523285,4576
1056,-10.225900000000001,487,18609,23.59,0.05,38,0.1,0.8863155245780945,4627
1060,-10.228199999999998,487,18699,23.82,0.05,38,0.1,0.30015361309051514,4649
1064,-10.237499999999999,486,18832,24.75,0.05,38,0.1,0.8889397978782654,4682
1068,-10.259199999999998,486,19068,26.92,0.05,39,0.1,0.011964433826506138,4741
1072,-10.254399999999999,486,19152,26.44,0.05,39,0.1,0.5923298597335815,4762
1076,-10.2433,484,19246,25.33,0.05,39,0.1,0.006084519904106855,4786
1080,-10.2634,483,19484,27.34,0.05,40,0.1,0.009595982730388641,4845
1084,-10.276,482,19692,28.6,0.05,40,0.1,0.2982728183269501,4897
1088,-10.283299999999999,483,19816,29.33,0.05,41,0.1,0.5903514623641968,4928
1092,-10.286999999999999,483,19870,29.7,0.05,41,0.1,0.5956970453262329,4942
1096,-10.2938,483,19953,30.38,0.05,41,0.1,0.8775025010108948,4963
